county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offenses,income_p_c_100,vio_offence_per_100,prop_offence_per_100,drug_offence_per_100,poverty_per_mill,unemploy_perc,hs_attainment_perc
37113,"29,489",264.5054088,26156,5730.950524,18603.54709,3.689251508,1.317728907,2550.103428,752,28.03801765,2.803801765,16.9,388.255,11,261.56,125.4705144,2424.632914,37.30204483,18.60354709,11,80.8
37115,"17,682",311.0507861,18792,5327.451646,18629.11435,1.435111815,1.155846658,1464.766429,259,16.54825175,1.654825175,16.9,204.126,15,187.92,62.21015722,1402.556272,84.83203258,18.62911435,9.5,85.7
37117,"19,006",494.5806587,18728,6624.223929,29669.57803,4.011337433,43.46459906,5166.789435,982,35.26552784,3.526552784,23.4,607.521,13,187.28,547.1956224,4619.593812,68.3994528,29.66957803,11.1,80.8
37111,"35,851",393.2944688,18798,7361.022008,21851.55226,10.47973532,3.795892968,3034.782851,1088,39.97240484,3.997240484,17.9,592.754,31,187.98,172.9379934,2861.844858,86.46899668,21.85155226,13.2,81.5
37119,"694,616",228.7594873,31848,7270.635862,15590.77246,13.54104787,30.75199972,6353.150518,44130,28.45357884,2.845357884,12.5,14382.114,430,318.48,737.3858362,5615.764681,61.90470706,15.59077246,10.9,88.8
37121,"13,327",405.1924664,18804,6077.886996,19501.76334,4.383295565,0.37229604,525.2494935,70,64.52775157,6.452775157,16.8,235.228,17,188.04,52.52494935,472.7245442,127.5605913,19.50176334,11.7,81.3
37123,"22,371",518.528452,18618,6115.059675,27419.42694,12.30708064,18.81790057,3772.741496,844,28.71226124,2.871226124,23.2,429.48,20,186.18,245.8540074,3526.887488,89.40145724,27.41942694,12.6,71.8
37125,"71,304",485.2462695,25786,4907.158084,15424.09963,6.149834363,13.41575351,3149.893414,2246,42.29226172,4.229226172,12.9,1015.565,85,257.86,274.8793897,2875.014024,119.2078986,15.42409963,9.7,89.7
37127,"75,676",502.1407051,23909,7600.824568,17215.49765,6.928086895,37.19741235,1272.530261,963,29.9196967,2.99196967,14.1,1487.913,74,239.09,129.499445,1143.030816,97.78529521,17.21549765,12.3,83.1
37129,"164,890",482.1396082,29363,6075.565529,18040.51186,6.043969368,14.75671915,6082.236643,10029,34.13280232,3.413280232,15.4,3085.387,205,293.63,550.6701437,5531.566499,124.3253078,18.04051186,9.7,90.6
37131,"17,518",479.506793,17128,5742.664688,26903.75614,2.448271137,58.35105661,2974.0838,521,8.713469936,0.871346994,21.7,278.289,13,171.28,296.8375385,2677.246261,74.20938463,26.90375614,11.8,72.9
37133,"124,880",320.3074952,21048,4489.910314,16544.6829,10.29941186,15.5660059,4750.960922,5933,35.39996356,3.539996356,13.8,1495.9,109,210.48,385.9705317,4364.990391,87.28379244,16.5446829,8.5,90.2
37135,"107,473",230.7556316,32912,4176.863026,18332.04619,13.53762292,11.90424586,3671.619849,3946,18.11882157,1.811882157,16.3,1157.629,45,329.12,208.4244415,3463.195407,41.87098155,18.33204619,6.5,91
37137,"11,290",203.7201063,23320,4685.562445,11682.90523,3.637190271,20.02434571,2462.356067,278,29.20727745,2.920727745,10.7,185.821,5,233.2,177.1479185,2285.208149,44.28697963,11.68290523,10.1,85.7
37139,"33,698",397.6497121,21736,5160.543652,20292.00546,5.521427167,37.76345884,3896.373672,1313,20.06484022,2.006484022,18.1,396.566,29,217.36,581.6368924,3314.73678,86.05851979,20.29200546,10,83.7
37141,"42,768",336.7003367,22872,6107.369996,16926.20651,5.977640031,17.75092403,2480.826786,1061,34.71269667,3.471269667,14.8,641.079,31,228.72,353.0677142,2127.759072,72.48410026,16.92620651,10.8,86.7
37143,"10,523",256.580823,22085,4637.4608,22313.0286,3.054793505,24.8792091,1796.065761,189,23.60820427,2.360820427,18,145.098,5,220.85,133.0419082,1663.023853,47.51496721,22.3130286,9.7,83.7
