county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,vio_offence_per_100,prop_offence_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offences,income_p_c_100,unemploy_perc,drug_offence_per_100,hs_attainment_perc,male_perc,vio_crime_per_100,prop_crime_per_100,drug_percentage,vio_percentage,prop_percentage
37053,14130,276.0084926,19.908,1663.128096,13602.26469,2.34744365,7.245739417,3283.793347,396.3198868,2887.473461,464,26.05152471,2.605152471,10.7,225.605,8,199.08,2.5,56.61712668,77.5,49.32059448,307.8614623,2242.990654,1.694915254,11.86440678,86.44067797
37055,24278,172.9961282,23.614,3937.721394,9807.232886,2.592852137,2.659592218,8167.888623,267.7321031,7900.15652,1983,31.15126432,3.115126432,8,421.169,13,236.14,5,53.54642063,88.6,50.0370706,216.9052625,6400.373744,0.651302605,3.256513026,96.09218437
37057,115340,285.2436275,18.703,1988.035374,12689.43992,3.802480203,9.14295416,3634.471996,267.0365875,3367.435408,4192,47.35859562,4.735859562,10.1,1779.3,83,187.03,2.8,71.96115831,72.1,48.48534767,209.1680815,2637.691002,1.941520468,7.204678363,90.85380117
37059,27269,333.712274,21.359,2959.404452,10825.47948,2.764461031,6.797760873,2658.696689,157.6882174,2501.008471,725,57.741686,5.7741686,8.6,482.555,26,213.59,4.2,95.346364,78.1,48.3809454,123.4390699,1957.801062,3.462050599,5.725699068,90.81225033
37061,37648,353.2724182,14.499,2956.332342,25047.8113,12.3922304,28.93830381,5030.81173,571.079473,4459.732257,1894,23.59359018,2.359359018,19.4,648.043,36,144.99,4.9,95.62260943,65.8,49.00658734,438.2120947,3422.13073,1.865284974,11.13989637,86.99481865
37063,176994,314.6999333,23.156,1563.32983,16134.44524,9.630833714,39.45520657,10435.94698,1103.992226,9331.954756,18471,21.99964272,2.199964272,13.4,3380.371,121,231.56,2.2,68.36389934,82.9,47.39821689,875.0011195,7396.31192,0.650817556,10.50989673,88.83928571
37065,42205,784.2672669,14.435,4376.258737,25312.1668,2.479948207,57.45602992,16746.83094,1717.805947,15029.025,7068,15.57110527,1.557110527,19.6,663.469,63,144.35,7,149.2714133,65.6,44.84776685,1303.816135,11407.04241,0.883466554,10.16687702,88.94965643
37067,240321,397.385164,23.023,1811.74346,13606.38479,5.92255944,25.61172046,9199.778629,1183.83329,8015.94534,22109,37.38381058,3.738381058,11,4901.281,321,230.23,2.7,133.5713483,82.1,46.80032124,929.5471847,6294.128987,1.431119037,12.68390548,85.88497548
37069,36545,396.7711041,17.562,1781.36544,15843.48064,3.971646212,30.03173931,3715.966617,147.7630319,3568.203585,1358,29.19729277,2.919729277,12.6,549.794,39,175.62,2.7,106.7177452,73.6,48.93966343,114.261532,2759.204401,2.791696492,3.865425913,93.34287759
37071,148279,279.8777979,19.225,4444.998955,13696.47759,3.149213353,13.87283541,6870.831338,876.7256321,5994.105706,10188,39.69430533,3.969430533,10.9,2493.409,71,192.25,6.3,47.8827076,71.5,47.67431666,683.00269,4669.636853,0.692075251,12.67180037,86.63612438
37077,38153,343.3543889,17.118,2547.637145,13128.71858,4.321827704,34.93546126,4987.81223,529.4472256,4458.365004,1903,20.6132542,2.06132542,11.7,553.849,33,171.18,4.1,86.49385369,73,52.80580819,416.5120211,3507.361128,1.704545455,10.4338843,87.86157025
37079,14754,664.2266504,15.452,2792.463061,24339.16226,6.951618004,41.21429324,4690.253491,433.7806696,4256.472821,692,14.29553265,1.429553265,20.2,174.597,21,154.52,4.3,142.3342822,65.5,50.92856175,337.3036787,3309.792347,2.945301543,8.976157083,88.07854137
37081,331333,330.1814187,23.34,1998.291749,13046.39139,6.200955711,29.2729095,7616.204845,871.6306556,6744.57419,25235,34.1892474,3.41892474,10.6,6903.78,304,233.4,2.8,91.75059532,82.9,47.11061078,685.907545,5307.470882,1.190336348,11.30819531,87.50146834
